NO.,bigCat,albumCat,cardNo,year,month,date,event,eventCode,maker,pokaCat,nickname,FB,pokaMem,typeNo,preCode,pokaCode,scnName
1,PREP,V,1,2019,2,14,앨범 기본 포카 (앞),ALOR,VANNER,ALpo,,F,7,1,V_1_ALOR_ALpo,V_1_ALOR_ALpoF71,@hamzzihyesung
1,PREP,V,1,2019,2,14,앨범 기본 포카 (뒤),ALOR,VANNER,ALpo,,B,7,1,V_1_ALOR_ALpo,V_1_ALOR_ALpoB71,@hamzzihyesung
2,PREP,V,2,2019,2,14,멬스 앨범펀딩 미공포,ALBE,MAKESTAR,MGpo,,F,5,1,V_2_ALBE_MGpo,V_2_ALBE_MGpoF51,"@hamzzihyesung,@I_GON_U,@hyesungsbee,@???"
3,PREP,V,3,2019,2,14,멬스 앨범펀딩 미공포 증명사진,ALBE,MAKESTAR,MGpo,,F,5,1,V_3_ALBE_MGpo,V_3_ALBE_MGpoF51,"@hamzzihyesung,@I_GON_U,@hyesungsbee,@???"
4,PREP,V,4,2019,2,14,배로두배로 공방포카,GB,BROADCAST,GBpo,,F,5,1,V_4_GB_GBpo,V_4_GB_GBpoF51,"@hamzzihyesung,@hyesungsbee"
5,PREP,5CEANV,1,2019,9,4,앨범 기본 포카 (앞),ALOR,VANNER,ALpo,,F,7,1,5CEANV_1_ALOR_ALpo,5CEANV_1_ALOR_ALpoF71,@hamzzihyesung
5,PREP,5CEANV,1,2019,9,4,앨범 기본 포카 (뒤),ALOR,VANNER,ALpo,,B,7,1,5CEANV_1_ALOR_ALpo,5CEANV_1_ALOR_ALpoB71,@hamzzihyesung
6,PREP,5CEANV,2,2019,9,4,멬스 앨범펀딩 미공포,ALBE,MAKESTAR,MGpo,,F,6,1,5CEANV_2_ALBE_MGpo,5CEANV_2_ALBE_MGpoF61,@hamzzihyesung
7,PREP,LIFE,1,2020,12,8,앨범 기본 포카 (앞),ALOR,VANNER,ALpo,,F,5,1,LIFE_1_ALOR_ALpo,LIFE_1_ALOR_ALpoF51,@hamzzihyesung
7,PREP,LIFE,1,2020,12,8,앨범 기본 포카 (뒤),ALOR,VANNER,ALpo,,B,5,1,LIFE_1_ALOR_ALpo,LIFE_1_ALOR_ALpoB51,@hamzzihyesung
8,PREP,LIFE,2,2020,12,8,멬스 앨범펀딩 미공포,ALBE,MAKESTAR,MGpo,,F,5,2,LIFE_2_ALBE_MGpo,LIFE_2_ALBE_MGpoF52,"@hamzzihyesung,@hyesungsbee,@vvshuman,@y97__angel,@rica_chi,@l0ve_vanner"
9,PREP,LIFE,3,2020,12,8,스튜디오파브 앨범펀딩 미공포,ALBE,STUDIOPAV,MDpo,,F,5,1,LIFE_3_ALBE_MDpo,LIFE_3_ALBE_MDpoF51,@hamzzihyesung
10,PREP,LIFE,4,2021,7,25,OUR LOVE IS SUMMER 온콘 포카,CON,HELLOLIVE,MDpo,,F,5,1,LIFE_4_CON_MDpo,LIFE_4_CON_MDpoF51,@hamzzihyesung
11,PREP,LIFE,5,2021,11,9,DESTINY - 1000일 기념 팬미 포카,CON,VANNER,MDpo,,F,6,1,LIFE_5_CON_MDpo,LIFE_5_CON_MDpoF61,@hamzzihyesung
12,PREP,TAKEOFF,1,2022,2,28,앨범 기본 포카,ALOR,VANNER,ALpo,,F,5,1,TAKEOFF_1_ALOR_ALpo,TAKEOFF_1_ALOR_ALpoF51,@hamzzihyesung
13,PREP,TAKEOFF,2,2022,4,16,POCKET FRIENDS TOUR IN LA 포카 (앞),CON,POCKETFRIENDS,MDpo,,F,5,1,TAKEOFF_2_CON_MDpo,TAKEOFF_2_CON_MDpoF51,@hyesungsbee
13,PREP,TAKEOFF,2,2022,4,16,POCKET FRIENDS TOUR IN LA 포카 (뒤),CON,POCKETFRIENDS,MDpo,,B,5,1,TAKEOFF_2_CON_MDpo,TAKEOFF_2_CON_MDpoB51,@hyesungsbee
14,PREP,TAKEOFF,3,2022,3,1,CODE1 BOOST UP TOUR 포카,CON,CODE1,MDpo,,F,5,1,TAKEOFF_3_CON_MDpo,TAKEOFF_3_CON_MDpoF51,@hyesungsbee
15,PEAK,PEAK,1,2023,5,22,앨범 기본 포카 (앞),ALOR,PEAKTIME,ALpo,,F,5,3,PEAK_1_ALOR_ALpo,PEAK_1_ALOR_ALpoF53,@chunsam_VVS
15,PEAK,PEAK,1,2023,5,22,앨범 기본 포카 (뒤),ALOR,PEAKTIME,ALpo,,B,5,3,PEAK_1_ALOR_ALpo,PEAK_1_ALOR_ALpoB53,@NyuNyuVVS
16,PEAK,PEAK,2,2023,5,22,케타포 예판 미공포,ALBE,KTOWN4U,MGpo,,F,5,1,PEAK_2_ALBE_MGpo,PEAK_2_ALBE_MGpoF51,@comet_0117
17,PEAK,PEAK,3,2023,5,22,사웨 예판 미공포,ALBE,SOUNDWAVE,MGpo,,F,5,1,PEAK_3_ALBE_MGpo,PEAK_3_ALBE_MGpoF51,@wonseotime
18,PEAK,PEAK,4,2023,5,22,사웨 현판 미공포,ALBE,SOUNDWAVE,MGpo,,F,5,1,PEAK_4_ALBE_MGpo,PEAK_4_ALBE_MGpoF51,"@wonseotime,@oortcloud__19"
19,PEAK,PEAK,5,2023,5,22,애플뮤직 예판 미공포,ALBE,APPLEMUSIC,MGpo,,F,5,1,PEAK_5_ALBE_MGpo,PEAK_5_ALBE_MGpoF51,@Meow_Rabbit_
20,PEAK,PEAK,6,2023,5,27,케타포 팬싸인회 미공포,FS,KTOWN4U,MGpo,,F,5,1,PEAK_6_FS_MGpo,PEAK_6_FS_MGpoF51,@chunsam_VVS
21,PEAK,PEAK,7,2023,5,22,케타포 카페 럭드 (앞),ALEV,KTOWN4U,MGpo,아궁빵,F,6,1,PEAK_7_ALEV_MGpo,PEAK_7_ALEV_MGpoF61,@parkhsungg
21,PEAK,PEAK,7,2023,5,22,케타포 카페 럭드 (뒤),ALEV,KTOWN4U,MGpo,아궁빵,B,6,1,PEAK_7_ALEV_MGpo,PEAK_7_ALEV_MGpoB61,@Bobea_vanner
22,PEAK,PEAK,8,2023,5,22,케타포 카페 음료포카,ALEV,KTOWN4U,MGpo,,F,5,1,PEAK_8_ALEV_MGpo,PEAK_8_ALEV_MGpoF51,@haengdobi_vivis
23,PEAK,PEAK,9,2023,5,22,사웨 카페 랜덤포카 (사복),ALEV,SOUNDWAVE,MGpo,,F,6,1,PEAK_9_ALEV_MGpo,PEAK_9_ALEV_MGpoF61,@wonseotime
23,PEAK,PEAK,9,2023,5,22,사웨 카페 랜덤포카 (스스퍼),ALEV,SOUNDWAVE,MGpo,,F,5,2,PEAK_9_ALEV_MGpo,PEAK_9_ALEV_MGpoF52,@chunsam_VVS
24,PEAK,PEAK,10,2023,5,22,사웨 카페 콜북포카,ALEV,SOUNDWAVE,MGpo,콜북,F,5,1,PEAK_10_ALEV_MGpo,PEAK_10_ALEV_MGpoF51,@chunsam_VVS
